"spes","diet","percent","change_number","spe_number","spes_hou","change_diet_number","change_diet_number_hou","PRJ_exsist_number","change_PRJ_number","Bact_host","group","type"
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Drexlerviridae.g__Jhansiroadvirus.s__Vibrio_virus_2019VC1","Low_urbanization",0.176091259055681,1,64,0.142857142857143,3,0.375,18,0.0555555555555556,"Vibrio","Low_urbanization|k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Drexlerviridae.g__Jhansiroadvirus.s__Vibrio_virus_2019VC1","Viru"
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Drexlerviridae.g__Jhansiroadvirus.s__Vibrio_virus_2019VC1","High_urbanization",-0.176091259055681,1,64,0.142857142857143,3,0.375,18,0.0555555555555556,"Vibrio","High_urbanization|k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Drexlerviridae.g__Jhansiroadvirus.s__Vibrio_virus_2019VC1","Viru"
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Schizotequatrovirus.s__Vibrio_virus_nt1","Chow_diet",-0.301029995663981,2,47,0.305129741202319,2,0.291729982995789,15,0.133333333333333,"Vibrio","Chow_diet|k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Schizotequatrovirus.s__Vibrio_virus_nt1","Viru"
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Schizotequatrovirus.s__Vibrio_virus_nt1","High_fat_diet",0.301029995663981,2,47,0.305129741202319,2,0.291729982995789,15,0.133333333333333,"Vibrio","High_fat_diet|k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Schizotequatrovirus.s__Vibrio_virus_nt1","Viru"
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.s__Vibrio_phage_qdvp001","Chow_diet",-0.1249387366083,3,71,0.419595259784214,4,0.474712663277541,6,0.5,"Vibrio","Chow_diet|k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.s__Vibrio_phage_qdvp001","Viru"
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.s__Vibrio_phage_qdvp001","High_fat_diet",0.1249387366083,3,71,0.419595259784214,4,0.474712663277541,6,0.5,"Vibrio","High_fat_diet|k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.s__Vibrio_phage_qdvp001","Viru"
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Podoviridae.g__Enhodamvirus.s__Vibrio_virus_VC8","Vegatarian",0.176091259055681,1,20,0.187901824709108,2,0.447213595499958,12,0.0833333333333333,"Vibrio","Vegatarian|k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Podoviridae.g__Enhodamvirus.s__Vibrio_virus_VC8","Viru"
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Podoviridae.g__Enhodamvirus.s__Vibrio_virus_VC8","Omnivores",-0.176091259055681,1,20,0.187901824709108,2,0.447213595499958,12,0.0833333333333333,"Vibrio","Omnivores|k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Podoviridae.g__Enhodamvirus.s__Vibrio_virus_VC8","Viru"
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Schitoviridae.g__Galateavirus.s__Vibrio_virus_PVA5","EEN_diet",0.176091259055681,5,48,0.759305766654316,3,0.433012701892219,24,0.208333333333333,"Vibrio","EEN_diet|k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Schitoviridae.g__Galateavirus.s__Vibrio_virus_PVA5","Viru"
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Schitoviridae.g__Galateavirus.s__Vibrio_virus_PVA5","Control",0.477121254719662,5,48,0.759305766654316,3,0.433012701892219,24,0.208333333333333,"Vibrio","Control|k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Schitoviridae.g__Galateavirus.s__Vibrio_virus_PVA5","Viru"
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Schitoviridae.g__Galateavirus.s__Vibrio_virus_PVA5","Vegatarian",-0.176091259055681,5,48,0.759305766654316,3,0.433012701892219,24,0.208333333333333,"Vibrio","Vegatarian|k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Schitoviridae.g__Galateavirus.s__Vibrio_virus_PVA5","Viru"
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Schitoviridae.g__Galateavirus.s__Vibrio_virus_PVA5","Omnivores",-0.176091259055681,5,48,0.759305766654316,3,0.433012701892219,24,0.208333333333333,"Vibrio","Omnivores|k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Schitoviridae.g__Galateavirus.s__Vibrio_virus_PVA5","Viru"
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Schitoviridae.g__Galateavirus.s__Vibrio_virus_PVA5","Baseline",-0.477121254719662,5,48,0.759305766654316,3,0.433012701892219,24,0.208333333333333,"Vibrio","Baseline|k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Schitoviridae.g__Galateavirus.s__Vibrio_virus_PVA5","Viru"
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Schitoviridae.g__Galateavirus.s__Vibrio_virus_PVA5","Mediterranean_diet",-0.477121254719662,5,48,0.759305766654316,3,0.433012701892219,24,0.208333333333333,"Vibrio","Mediterranean_diet|k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Schitoviridae.g__Galateavirus.s__Vibrio_virus_PVA5","Viru"
"k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Aurunvirus.s__Synechococcus_virus_STIM5","Control",-0.397940008672038,8,145,0.978005979279825,4,0.33218191941496,36,0.222222222222222,"Synechococcus","Control|k__Viruses.k__Heunggongvirae.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Myoviridae.g__Aurunvirus.s__Synechococcus_virus_STIM5","Viru"
