V1,V2,V3,V4,V5,V6,V7,V8,t.c.colnames.col_anno2..x...,factor,level,Type
Model17,5,85.2895875329663,0.266067730445992,74.6073462052014,0.01,Model,adonis_BS_Nutrition1,Age2,Age2,VG,Nutrition1
Model16,2,79.7250420116992,0.0596817987009714,131.985428153169,0.01,Model,adonis_BS_Nutrition1,Host,Host,VG,Nutrition1
Model15,3,25.9763977310942,0.0194458115197485,27.4863899241957,0.01,Model,adonis_BS_Nutrition1,Continent,Continent,VG,Nutrition1
Model14,14,100.197858751952,0.0750076548774331,24.0200246302346,0.01,Model,adonis_BS_Nutrition1,Country,Country,VG,Nutrition1
Model13,4,27.5238313513091,0.114381673212326,28.2525668884393,0.01,Model,adonis_BS_Nutrition1,Diease,Diease,VG,Nutrition1
Model12,1,11.8914081772399,0.031845231554059,34.5373428108349,0.01,Model,adonis_BS_Nutrition1,Antibiotic,Antibiotic,VG,Nutrition1
Model11,52,248.71306948119,0.186185456570834,18.0781133458889,0.01,Model,adonis_BS_Nutrition1,Nutrition1,Nutrition1,VG,Nutrition1
Model10,13,190.85046919918,0.17867028105663,54.6856625885454,0.01,Model,adonis_BS_Nutrition1,Diet1,Diet1,VG,Nutrition1
Model,1,1.25157841716412,0.00113923010832865,4.3944599084278,0.01,Model,adonis_VF_Diet1,Sex,Sex,VS,Diet1
Model8,6,180.279190151942,0.139158550921484,125.632179158638,0.01,Model,adonis_VF_Diet1,Age2,Age2,VS,Diet1
Model7,2,42.1316099159652,0.0204777372601211,82.9334735932113,0.01,Model,adonis_VF_Diet1,Host,Host,VS,Diet1
Model6,5,70.6096731623852,0.0343192756679927,56.3718770530768,0.01,Model,adonis_VF_Diet1,Continent,Continent,VS,Diet1
Model5,20,111.387035336035,0.0541387914761552,22.6546278387967,0.01,Model,adonis_VF_Diet1,Country,Country,VS,Diet1
Model4,6,117.219071098739,0.119720840728302,82.8939906793571,0.01,Model,adonis_VF_Diet1,Diease,Diease,VS,Diet1
Model3,1,12.1525525180357,0.0143257610610617,40.4916439320582,0.01,Model,adonis_VF_Diet1,Antibiotic,Antibiotic,VS,Diet1
Model2,35,142.230948030589,0.198697404820817,20.7159555022906,0.01,Model,adonis_VF_Diet1,Nutrition1,Nutrition1,VS,Diet1
Model1,27,299.316826176568,0.145480586576267,49.8701783220554,0.01,Model,adonis_VF_Diet1,Diet1,Diet1,VS,Diet1
Model,1,2.69178407967119,0.0173576279152703,10.9871555206732,0.01,Model,adonis_VF_Nutrition1,Sex,Sex,VS,Nutrition1
Model17,5,64.4958854783335,0.264996962685564,72.5403653937911,0.01,Model,adonis_VF_Nutrition1,Age2,Age2,VS,Nutrition1
Model16,2,53.4601300302824,0.057926743285349,117.197226346186,0.01,Model,adonis_VF_Nutrition1,Host,Host,VS,Nutrition1
Model15,3,8.04916469893741,0.00872167532912336,11.1769163284943,0.01,Model,adonis_VF_Nutrition1,Continent,Continent,VS,Nutrition1
Model14,14,47.5372359750123,0.0515089892834114,14.7402676661777,0.01,Model,adonis_VF_Nutrition1,Country,Country,VS,Nutrition1
Model13,4,10.1197675800997,0.0556393620092285,12.7114492817397,0.01,Model,adonis_VF_Nutrition1,Diease,Diease,VS,Nutrition1
Model12,1,0.986101511121807,0.00351457184477926,3.60103394603846,0.02,Model,adonis_VF_Nutrition1,Antibiotic,Antibiotic,VS,Nutrition1
Model11,52,172.74053802156,0.187173072629638,16.6594528950086,0.01,Model,adonis_VF_Nutrition1,Nutrition1,Nutrition1,VS,Nutrition1
Model10,13,137.619563240221,0.192255275290195,53.9378368207562,0.01,Model,adonis_VF_Nutrition1,Diet1,Diet1,VS,Nutrition1
Model,1,1.26795790233032,7.84639096196979e-4,2.9352840802321,0.01,Model,adonis_VG_Diet1,Sex,Sex,BF,Diet1
Model8,6,256.037475929571,0.136629136964288,117.975977610288,0.01,Model,adonis_VG_Diet1,Age2,Age2,BF,Diet1
