"Spe","Phylum","Group","Change","Bacteria"
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus","p__Firmicutes","HFD+Fuco","GD0",0.000487781529087118
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Virgibacillus","p__Firmicutes","HFD+Fuco","GD0",0.000148986261922994
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Listeriaceae|g__Listeria","p__Firmicutes","HFD+Fuco","GD0",0.00040257825884024
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Planococcus","p__Firmicutes","HFD+Fuco","GD0",0.000369717920379125
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Thermoactinomycetaceae|g__Kroppenstedtia","p__Firmicutes","HFD+Fuco","GD0",0.000107107690697332
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Vagococcus","p__Firmicutes","HFD+Fuco","GD0",0.000166295036003769
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lentilactobacillus","p__Firmicutes","HFD","GD10",0.000500241600870493
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Ligilactobacillus","p__Firmicutes","HFD","GD10",0.0130634460884887
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Crassaminicella","p__Firmicutes","HFD+Fuco","GD0",0.00012695643
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerotignum","p__Firmicutes","HFD+Fuco","GD0",0.0002735879
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Clostridioides","p__Firmicutes","HFD+Fuco","GD0",0.00504498389
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Romboutsia","p__Firmicutes","Con","GD0",0.01606110997
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Amedibacterium","p__Firmicutes","HFD+Fuco","GD0",0.0003989689
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalibacillus","p__Firmicutes","HFD+Fuco","GD0",0.000487915
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalibaculum","p__Firmicutes","Con","GD10",0.08619394
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalitalea","p__Firmicutes","Con","GD0",0.0005732696
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalitalea","p__Firmicutes","HFD","GD10",0.0005732696
