"Contig_number","Mapped_Reads_Number"
"NODE_22272_length_1061_cov_1.622266||full",17
"NODE_24275_length_1007_cov_2.209034||lt2gene",22
"NODE_6789_length_2282_cov_3.647957||full",118
"NODE_614_length_11409_cov_37.869561||full",4540
"NODE_4275_length_3201_cov_7.739034||full",252
"NODE_7608_length_2103_cov_2.671875||full",69
"NODE_4476_length_3100_cov_4.098522||full",134
"NODE_2496_length_4694_cov_13.548394||full_1",259
"NODE_24360_length_1005_cov_1.780000||lt2gene",26
"NODE_22370_length_1058_cov_2.443669||lt2gene",31
"NODE_3543_length_3643_cov_7.102843||full",330
"NODE_4451_length_3113_cov_4.394048||full",141
"NODE_22264_length_1061_cov_2.063618||lt2gene",25
"NODE_15233_length_1334_cov_3.165754||full",54
"NODE_14897_length_1351_cov_5.549383||full",75
"NODE_18733_length_1178_cov_2.186109||full",30
"NODE_2220_length_5094_cov_14.583648||full",775
"NODE_6558_length_2333_cov_3.829675||full",108
"NODE_16507_length_1270_cov_6.767901||full",124
"NODE_24033_length_1013_cov_3.062630||full",60
"NODE_9887_length_1764_cov_3.145699||full",56
"NODE_16435_length_1274_cov_3.228876||full",39
"NODE_23911_length_1016_cov_3.376691||lt2gene",34
"NODE_11921_length_1561_cov_3.747012||lt2gene",59
"NODE_13700_length_1427_cov_2.295190||full",35
"NODE_12719_length_1494_cov_3.653231||full",61
"NODE_22915_length_1042_cov_8.427558||full",95
"NODE_5235_length_2771_cov_2.601620||full",74
"NODE_13283_length_1454_cov_69.589707||full",1018
"NODE_2377_length_4858_cov_6.619613||full",421
"NODE_24368_length_1004_cov_3.427819||full",36
"NODE_11573_length_1591_cov_4.393880||lt2gene",77
"NODE_10087_length_1741_cov_5.677936||full",236
"NODE_18346_length_1192_cov_1.750220||lt2gene",28
"NODE_13525_length_1439_cov_2.150289||full",58
"NODE_9561_length_1804_cov_3.480274||full",90
"NODE_19639_length_1144_cov_5.383838||full",115
"NODE_11944_length_1560_cov_2.590698||full",43
"NODE_22489_length_1054_cov_2.668669||full",55
"NODE_12281_length_1529_cov_3.153324||full",65
"NODE_16096_length_1290_cov_2.302834||full_1",30
"NODE_1462_length_6688_cov_66.840796||full",2524
"NODE_4161_length_3255_cov_11.020312||full",645
"NODE_15016_length_1345_cov_2.266667||full",46
"NODE_2645_length_4514_cov_5.622113||full",358
"NODE_2750_length_4364_cov_7.060803||full",392
"NODE_13956_length_1409_cov_4.254062||full",60
"NODE_16295_length_1280_cov_5.364898||full",75
"NODE_22360_length_1058_cov_3.222333||full",56
"NODE_16254_length_1283_cov_2.040717||full",34
"NODE_16163_length_1287_cov_2.558442||lt2gene",33
"NODE_18906_length_1171_cov_2.815412||full",64
"NODE_6138_length_2446_cov_2.951066||full",103
"NODE_14203_length_1394_cov_3.434653||full",53
"NODE_20779_length_1107_cov_3.467681||lt2gene",42
"NODE_19730_length_1142_cov_2.207912||lt2gene",29
"NODE_189_length_19893_cov_19.539218||full",4318
"NODE_2385_length_4845_cov_18.317119||full",952
"NODE_7034_length_2224_cov_3.896266||full",153
"NODE_6095_length_2456_cov_10.266972||full",261
"NODE_14504_length_1375_cov_3.068939||full",67
"NODE_20237_length_1124_cov_2.921422||full",77
"NODE_22199_length_1063_cov_2.666667||lt2gene",28
"NODE_11368_length_1609_cov_2.947876||full",63
"NODE_1183_length_7545_cov_44.226302||full",3272
"NODE_8634_length_1932_cov_3.409696||full",81
"NODE_11428_length_1603_cov_4.660207||full",76
"NODE_67_length_27722_cov_24.777280||full_1",5321
"NODE_2561_length_4622_cov_4.589446||full",307
"NODE_20699_length_1110_cov_2.160190||full",39
"NODE_1686_length_6100_cov_4.547891||full",332
"NODE_16968_length_1250_cov_3.378243||full",57
"NODE_19603_length_1146_cov_2.023831||full",27
"NODE_10617_length_1683_cov_2.502457||full",46
"NODE_8459_length_1958_cov_1.808723||full",44
"NODE_21991_length_1070_cov_3.096552||lt2gene",36
"NODE_22921_length_1042_cov_4.365755||full",53
"NODE_24212_length_1008_cov_4.091291||full",79
"NODE_15567_length_1316_cov_2.055511||lt2gene",27
"NODE_16072_length_1291_cov_2.097087||full",27
"NODE_15_length_43957_cov_44.666188||full",20877
"NODE_13444_length_1444_cov_2.601872||full",46
"NODE_2282_length_4991_cov_4.250405||full",392
"NODE_15273_length_1332_cov_1.543461||full",25
"NODE_7336_length_2162_cov_2.628382||full",69
"NODE_8591_length_1939_cov_4.285032||full",86
"NODE_9957_length_1755_cov_2.931765||lt2gene",91
"NODE_19272_length_1157_cov_2.380218||full",27
"NODE_3092_length_4034_cov_5.905253||full",334
