"Contig_number","Mapped_Reads_Number"
"NODE_6089_length_4131_cov_9.227429||full",439
"NODE_3873_length_5540_cov_9.367548||full",636
"NODE_10996_length_2767_cov_4.469027||full",139
"NODE_9574_length_3046_cov_36.853561||full",1292
"NODE_35167_length_1199_cov_2.465909||lt2gene",32
"NODE_3392_length_6041_cov_8.944871||full_1",668
"NODE_43785_length_1012_cov_3.702194||full",56
"NODE_5162_length_4639_cov_10.252182||full",514
"NODE_30570_length_1333_cov_2.525822||lt2gene",48
"NODE_16420_length_2100_cov_3.179951||full",77
"NODE_10172_length_2924_cov_5.147787||full_1",41
"NODE_625_length_15408_cov_47.480167||full",7586
"NODE_16021_length_2135_cov_5.345673||full",181
"NODE_8055_length_3421_cov_3.449792||full",128
"NODE_3320_length_6133_cov_5.449490||full",363
"NODE_41690_length_1051_cov_3.323293||full",123
"NODE_43042_length_1026_cov_2.131823||full",52
"NODE_30258_length_1343_cov_3.771739||full",54
"NODE_40871_length_1068_cov_10.619941||full",186
"NODE_21125_length_1755_cov_2.906471||full",89
"NODE_1269_length_10718_cov_8.006002||full",1062
"NODE_790_length_13990_cov_4.219663||full",720
"NODE_6610_length_3908_cov_4.010122||full",179
"NODE_2181_length_7922_cov_4.838185||full",436
"NODE_17455_length_2009_cov_11.255374||full",266
"NODE_14411_length_2303_cov_10.817171||full",469
"NODE_19858_length_1832_cov_1.975802||full",32
"NODE_19383_length_1865_cov_3.275138||full",62
"NODE_5469_length_4458_cov_6.620486||full_1",156
"NODE_15766_length_2159_cov_4.271388||full",157
"NODE_34859_length_1207_cov_1.817708||full",31
"NODE_22997_length_1649_cov_2.708908||full",43
"NODE_37294_length_1147_cov_6.725275||full",83
"NODE_769_length_14196_cov_8.786154||full",1350
"NODE_2490_length_7322_cov_8.351314||full",679
"NODE_227_length_23863_cov_10.677545||full",3013
"NODE_40628_length_1074_cov_2.782139||full",30
"NODE_3337_length_6106_cov_4.881011||full",380
"NODE_15488_length_2186_cov_9.553731||full",234
"NODE_38731_length_1115_cov_2.829245||lt2gene",63
"NODE_12388_length_2548_cov_7.837545||full",206
"NODE_36584_length_1164_cov_2.770965||full",37
"NODE_22942_length_1652_cov_2.805886||full",53
"NODE_6252_length_4055_cov_20.845250||full",869
"NODE_1724_length_9079_cov_4.977948||full",559
"NODE_2358_length_7558_cov_5.814741||full",521
"NODE_12967_length_2475_cov_7.736777||lt2gene",206
"NODE_2065_length_8173_cov_6.175659||full",701
"NODE_16728_length_2074_cov_2.760773||full",100
"NODE_18373_length_1938_cov_3.874668||full",125
"NODE_36386_length_1168_cov_8.606469||full",118
"NODE_3281_length_6177_cov_9.369324||full_1",398
"NODE_18677_length_1915_cov_6.031183||full",161
"NODE_22348_length_1684_cov_3.128913||full",54
"NODE_77_length_35683_cov_6.987650||full",2693
"NODE_7856_length_3475_cov_6.193860||full",253
"NODE_3588_length_5817_cov_11.030024||full",1140
"NODE_9060_length_3164_cov_2.768736||full",120
"NODE_13711_length_2383_cov_4.442869||full",120
"NODE_14595_length_2282_cov_3.328244||full",159
"NODE_31149_length_1315_cov_1.751587||full",30
"NODE_38914_length_1110_cov_2.545024||full",36
"NODE_38845_length_1112_cov_2.048250||full",63
"NODE_19789_length_1837_cov_2.095960||full",50
"NODE_31265_length_1311_cov_1.986465||full",26
"NODE_42089_length_1044_cov_2.421638||full",68
"NODE_55_length_40882_cov_7.159698||full",3277
"NODE_8074_length_3416_cov_7.923832||full",303
"NODE_27721_length_1436_cov_2.641564||full",57
"NODE_9771_length_3003_cov_14.978969||full",529
"NODE_17698_length_1990_cov_2.172610||full",48
"NODE_23421_length_1627_cov_2.500000||full",36
"NODE_38553_length_1119_cov_2.109023||lt2gene",28
"NODE_39809_length_1090_cov_4.693720||lt2gene",125
"NODE_36255_length_1171_cov_6.913082||full",97
"NODE_21578_length_1728_cov_2.413030||full",68
"NODE_6626_length_3901_cov_3.892616||full",192
"NODE_42303_length_1040_cov_1.391878||full",27
"NODE_17175_length_2033_cov_3.007078||full",100
"NODE_16248_length_2114_cov_5.173385||full",1222
"NODE_6058_length_4145_cov_7.689242||full",351
"NODE_40332_length_1080_cov_1.732683||lt2gene",24
"NODE_33770_length_1236_cov_3.820491||full",49
"NODE_19549_length_1854_cov_2.459144||full",75
"NODE_41703_length_1051_cov_2.602410||full",29
"NODE_28931_length_1390_cov_2.629213||full",39
"NODE_25689_length_1520_cov_3.552901||full",92
"NODE_11057_length_2757_cov_2.582531||full",74
"NODE_22422_length_1680_cov_4.192000||full",73
"NODE_753_length_14321_cov_4.812421||full",824
"NODE_6903_length_3796_cov_6.033948||full",243
"NODE_40681_length_1073_cov_2.573674||lt2gene",53
"NODE_31987_length_1289_cov_2.966775||full",48
"NODE_36779_length_1160_cov_1.820814||full",22
"NODE_1391_length_10212_cov_5.702373||full",647
"NODE_27325_length_1451_cov_3.922636||full",88
"NODE_10006_length_2954_cov_3.789928||full",130
"NODE_43639_length_1015_cov_1.800000||lt2gene",20
"NODE_15844_length_2152_cov_4.303290||full",102
"NODE_13954_length_2357_cov_4.170721||full",115
"NODE_9652_length_3032_cov_4.406449||full",178
"NODE_34765_length_1209_cov_2.829289||full",42
"NODE_40192_length_1083_cov_2.061284||lt2gene",30
"NODE_1230_length_10907_cov_5.483690||full",679
"NODE_4538_length_5034_cov_6.278771||full",351
"NODE_13314_length_2434_cov_3.578815||full",107
"NODE_6961_length_3774_cov_3.898898||full",171
"NODE_42990_length_1027_cov_2.324074||full",25
"NODE_33332_length_1249_cov_2.721943||full",39
"NODE_5339_length_4531_cov_3.110366||full",182
"NODE_9506_length_3062_cov_4.028600||full",191
"NODE_18297_length_1944_cov_3.664373||lt2gene",114
"NODE_43801_length_1012_cov_2.594566||full",183
"NODE_22631_length_1668_cov_14.138252||full",310
"NODE_37417_length_1145_cov_2.587156||full",86
"NODE_41765_length_1050_cov_2.162814||full",34
"NODE_16365_length_2104_cov_3.357735||full",69
"NODE_33922_length_1232_cov_3.058624||full",37
"NODE_41197_length_1061_cov_3.180915||full",53
"NODE_35537_length_1190_cov_1.859912||full_1",35
"NODE_19757_length_1839_cov_2.812220||full",74
"NODE_127_length_30503_cov_121.846098||full_1",53230
"NODE_29424_length_1373_cov_3.552352||full",760
"NODE_30122_length_1348_cov_2.699149||full",37
"NODE_32514_length_1273_cov_4.477833||full",57
"NODE_31103_length_1316_cov_3.719270||full",53
"NODE_37929_length_1133_cov_3.268089||full",64
"NODE_14538_length_2288_cov_3.543215||full",107
"NODE_26188_length_1498_cov_4.855856||full",89
"NODE_23165_length_1641_cov_1.796343||lt2gene",34
"NODE_38723_length_1115_cov_3.369811||full",27
"NODE_34782_length_1209_cov_1.932409||lt2gene",26
"NODE_26984_length_1465_cov_24.731915||full",536
"NODE_22577_length_1671_cov_16.526609||lt2gene",366
"NODE_28363_length_1411_cov_13.128319||full",422
"NODE_1739_length_9037_cov_5.986417||full",672
"NODE_27402_length_1448_cov_3.926777||full",54
"NODE_33041_length_1257_cov_5.949251||full",116
"NODE_41417_length_1057_cov_2.443114||full",39
"NODE_11074_length_2754_cov_4.282327||full",157
"NODE_28974_length_1388_cov_4.202551||lt2gene",185
"NODE_3428_length_6004_cov_4.407800||full",294
"NODE_14628_length_2278_cov_2.893387||full",111
"NODE_4589_length_5002_cov_3.041641||full",164
"NODE_11619_length_2665_cov_5.283908||full",168
"NODE_32086_length_1286_cov_3.197400||full",60
"NODE_44095_length_1007_cov_2.371849||lt2gene",24
"NODE_29144_length_1383_cov_3.521084||full",67
"NODE_28622_length_1401_cov_3.453195||lt2gene",78
"NODE_30944_length_1321_cov_3.692733||full",49
"NODE_31709_length_1297_cov_2.877617||full",40
"NODE_11048_length_2758_cov_9.364780||full",344
"NODE_2663_length_7024_cov_3.774143||full",375
"NODE_17244_length_2028_cov_8.938672||full",374
"NODE_18915_length_1898_cov_4.024959||lt2gene",82
"NODE_19702_length_1842_cov_4.137101||full",78
"NODE_23755_length_1609_cov_3.812098||full",97
"NODE_40804_length_1070_cov_2.553695||full",27
"NODE_17892_length_1975_cov_2.949479||full",56
"NODE_12458_length_2539_cov_3.990741||full",127
"NODE_22953_length_1651_cov_3.754386||lt2gene",83
"NODE_27128_length_1459_cov_13.300570||full",213
"NODE_16330_length_2107_cov_5.185673||full",246
"NODE_5537_length_4419_cov_3.811870||full",180
"NODE_22806_length_1659_cov_3.043641||full",69
"NODE_22682_length_1666_cov_2.635630||full",62
"NODE_28320_length_1413_cov_2.796024||lt2gene",57
"NODE_25247_length_1539_cov_3.320755||full",65
"NODE_29304_length_1377_cov_6.294251||full",81
"NODE_8288_length_3355_cov_3.968182||full",179
"NODE_43734_length_1013_cov_2.713987||lt2gene",41
"NODE_26648_length_1479_cov_3.101124||full",54
"NODE_26547_length_1483_cov_3.355042||full",51
"NODE_10960_length_2772_cov_4.451233||full",131
"NODE_9115_length_3152_cov_4.166936||full",174
"NODE_28064_length_1423_cov_2.891813||full",850
"NODE_9404_length_3083_cov_4.514201||full",177
"NODE_15309_length_2206_cov_4.027429||full",103
"NODE_26319_length_1492_cov_8.592902||full",128
"NODE_22728_length_1663_cov_6.000622||full",254
"NODE_36472_length_1166_cov_5.011701||full",66
"NODE_1248_length_10822_cov_9.302870||full_1",683
"NODE_23502_length_1622_cov_4.651563||full",95
"NODE_6711_length_3866_cov_4.548150||full",276
"NODE_30609_length_1331_cov_5.952978||full",140
"NODE_36651_length_1162_cov_3.989160||full",46
"NODE_8731_length_3244_cov_3.943242||full",147
"NODE_34021_length_1229_cov_2.929302||lt2gene",45
"NODE_5632_length_4365_cov_6.636195||full",343
"NODE_12006_length_2605_cov_4.028235||full",113
"NODE_3049_length_6459_cov_4.185509||full",611
"NODE_3350_length_6087_cov_8.025531||full",574
"NODE_28943_length_1389_cov_8.856822||full",198
"NODE_9075_length_3160_cov_4.228663||full",159
"NODE_40740_length_1071_cov_5.975394||full",117
"NODE_21036_length_1760_cov_11.151906||full",332
"NODE_26268_length_1495_cov_4.004861||full",96
"NODE_24610_length_1568_cov_3.584270||full",64
"NODE_35592_length_1188_cov_9.833186||full",155
"NODE_136_length_29865_cov_13.527139||full",4253
"NODE_30261_length_1343_cov_3.165373||full",102
"NODE_6322_length_4029_cov_4.106442||full",394
"NODE_17307_length_2023_cov_5.296240||full",164
"NODE_18472_length_1931_cov_1.955757||full",62
"NODE_32226_length_1282_cov_2.425428||lt2gene",39
"NODE_6907_length_3795_cov_3.660963||full",155
"NODE_26412_length_1488_cov_15.815771||full",344
"NODE_29049_length_1386_cov_3.876784||lt2gene",97
"NODE_37610_length_1141_cov_2.298343||full",26
"NODE_7854_length_3475_cov_13.220760||full",518
"NODE_875_length_13288_cov_7.498224||full",1135
"NODE_2686_length_6989_cov_7.122729||full",431
"NODE_28269_length_1415_cov_2.466176||full",47
"NODE_17674_length_1992_cov_2.346928||full",57
"NODE_35117_length_1200_cov_3.448908||lt2gene",42
"NODE_23843_length_1604_cov_6.090381||full",116
"NODE_20930_length_1767_cov_2.719626||full",53
"NODE_27817_length_1432_cov_3.539579||full",58
"NODE_25768_length_1517_cov_2.469904||lt2gene",38
"NODE_33268_length_1250_cov_7.983264||full",131
"NODE_58_length_39944_cov_10.439921||full_1",3491
"NODE_1325_length_10452_cov_10.952582||full",1451
"NODE_36093_length_1176_cov_2.455843||lt2gene",29
"NODE_28535_length_1404_cov_4.851742||full",435
"NODE_3779_length_5628_cov_8.512471||full",777
"NODE_2748_length_6899_cov_6.683665||full",697
"NODE_4006_length_5422_cov_5.785728||full",373
"NODE_25922_length_1510_cov_3.275601||full",60
"NODE_5884_length_4230_cov_10.427305||full",473
"NODE_7439_length_3607_cov_6.242117||full",356
"NODE_24106_length_1592_cov_2.507482||full",82
"NODE_12821_length_2492_cov_4.236767||full",152
"NODE_20632_length_1784_cov_3.447658||full",116
"NODE_39841_length_1090_cov_2.284058||full",26
"NODE_14810_length_2258_cov_5.264185||full",146
"NODE_32183_length_1283_cov_2.969870||lt2gene",42
"NODE_30791_length_1326_cov_2.242329||full",47
"NODE_31761_length_1295_cov_14.080645||full",184
"NODE_22711_length_1664_cov_5.463021||full",124
"NODE_15171_length_2221_cov_44.572946||full",1008
"NODE_6191_length_4084_cov_3.285679||full",208
"NODE_34932_length_1205_cov_4.505217||full",57
"NODE_1648_length_9355_cov_6.471828||full",660
"NODE_15405_length_2195_cov_5.952804||full",176
"NODE_20564_length_1788_cov_1.804962||full",38
"NODE_26674_length_1478_cov_2.470836||full",52
"NODE_14084_length_2341_cov_3.459755||full",105
"NODE_25179_length_1542_cov_2.693342||full",52
"NODE_17230_length_2029_cov_5.130699||full",110
"NODE_4791_length_4870_cov_10.869990||full",727
"NODE_68_length_37191_cov_10.955676||full",4407
"NODE_15454_length_2190_cov_3.416393||full",137
"NODE_6385_length_4003_cov_11.359422||full",413
"NODE_17718_length_1988_cov_4.128298||full",128
"NODE_11339_length_2711_cov_5.513178||full",246
"NODE_28301_length_1413_cov_6.416789||full",99
"NODE_20131_length_1813_cov_1.940842||full",37
"NODE_5566_length_4401_cov_5.399678||full_1",254
"NODE_13798_length_2373_cov_4.631579||full",142
"NODE_30266_length_1343_cov_2.493789||full",40
"NODE_29527_length_1369_cov_3.287671||full",45
"NODE_6279_length_4047_cov_4.103206||full",177
"NODE_12134_length_2586_cov_22.938759||full",787
"NODE_9803_length_2998_cov_5.290520||full",194
"NODE_29535_length_1369_cov_2.516743||full",46
"NODE_27078_length_1461_cov_4.598151||full",78
"NODE_10649_length_2831_cov_3.355548||full",135
"NODE_9612_length_3039_cov_12.051609||full",418
"NODE_26250_length_1496_cov_2.514226||full",36
"NODE_23954_length_1599_cov_7.308938||full",120
"NODE_10069_length_2944_cov_3.100727||full",102
"NODE_9513_length_3061_cov_3.533267||full",124
"NODE_32061_length_1287_cov_1.936688||full",38
"NODE_25135_length_1544_cov_2.707858||lt2gene",42
"NODE_29128_length_1384_cov_1.878104||lt2gene",28
"NODE_1531_length_9746_cov_5.408007||full",587
"NODE_22803_length_1659_cov_3.647132||full",69
"NODE_17657_length_1993_cov_7.957688||full",217
"NODE_37670_length_1139_cov_3.502768||full",40
"NODE_7564_length_3561_cov_10.619224||full",450
"NODE_20483_length_1792_cov_4.036845||full",75
"NODE_14658_length_2274_cov_5.557458||full",345
"NODE_18750_length_1910_cov_3.548787||lt2gene",85
"NODE_11506_length_2683_cov_4.154871||full",118
"NODE_2258_length_7760_cov_11.039974||full",1502
"NODE_20479_length_1792_cov_8.084053||full",187
"NODE_24750_length_1562_cov_16.195090||full",280
"NODE_41842_length_1048_cov_4.299094||full",81
"NODE_32406_length_1277_cov_3.006547||full",44
"NODE_31146_length_1315_cov_2.211905||full",34
"NODE_12556_length_2524_cov_4.237748||full",113
"NODE_3585_length_5819_cov_3.778626||full",245
"NODE_21498_length_1732_cov_4.723912||full",101
"NODE_24093_length_1592_cov_7.548471||full",115
"NODE_33123_length_1255_cov_1.668333||full",31
"NODE_38000_length_1132_cov_2.317549||lt2gene",26
"NODE_40555_length_1076_cov_2.146915||full",19
"NODE_44000_length_1008_cov_7.953830||full",311
"NODE_4850_length_4827_cov_9.033319||full",931
"NODE_5681_length_4340_cov_2.914119||full",201
"NODE_15214_length_2216_cov_7.993059||full",170
"NODE_5622_length_4369_cov_8.854196||full",491
"NODE_29069_length_1385_cov_7.274436||full",139
"NODE_6202_length_4077_cov_7.768026||full",449
"NODE_23105_length_1644_cov_2.753304||full",65
"NODE_24452_length_1575_cov_6.495395||full",162
"NODE_32632_length_1270_cov_2.436214||full",37
"NODE_37135_length_1151_cov_4.625000||full",53
"NODE_8329_length_3346_cov_15.830143||full",670
"NODE_14884_length_2250_cov_15.467426||full",414
"NODE_5203_length_4614_cov_4.845580||full",308
"NODE_37289_length_1148_cov_1.905764||full",28
"NODE_24757_length_1562_cov_3.082283||full",64
"NODE_17529_length_2004_cov_3.024628||lt2gene",93
"NODE_23400_length_1628_cov_2.354100||full",44
"NODE_35620_length_1188_cov_2.530450||lt2gene",90
"NODE_9077_length_3160_cov_2.639936||full",102
"NODE_405_length_18735_cov_5.870717||full",1324
"NODE_36036_length_1177_cov_3.064171||full",36
"NODE_1399_length_10194_cov_5.256041||full",588
"NODE_1331_length_10435_cov_5.200385||full",656
"NODE_39283_length_1101_cov_4.170172||full",274
"NODE_5173_length_4631_cov_7.751967||full",398
"NODE_9087_length_3158_cov_4.225910||full",238
"NODE_6837_length_3823_cov_5.111200||full",253
"NODE_21552_length_1729_cov_3.016129||lt2gene",91
"NODE_26474_length_1486_cov_3.354298||full",60
"NODE_21408_length_1737_cov_5.078478||full",89
"NODE_10022_length_2951_cov_4.274862||full",159
"NODE_30439_length_1336_cov_19.429352||full",335
"NODE_2946_length_6596_cov_31.882893||full",2184
"NODE_14475_length_2294_cov_10.643144||full",333
"NODE_32693_length_1268_cov_3.143446||full",43
"NODE_22855_length_1656_cov_5.087445||full",268
"NODE_43359_length_1020_cov_2.130570||full",22
"NODE_21854_length_1713_cov_2.721351||full",49
"NODE_41581_length_1053_cov_4.151303||lt2gene",47
"NODE_43369_length_1019_cov_40.986515||full",468
"NODE_19859_length_1831_cov_10.519144||full_1",251
"NODE_22242_length_1689_cov_8.510404||full",178
"NODE_4218_length_5246_cov_10.517819||full",834
"NODE_29368_length_1375_cov_5.445455||full",221
"NODE_11927_length_2618_cov_4.847835||full",135
"NODE_9346_length_3096_cov_4.864518||full",268
"NODE_29164_length_1382_cov_7.274303||lt2gene",121
"NODE_24759_length_1562_cov_2.842070||full",53
"NODE_23835_length_1605_cov_3.607742||full",79
"NODE_3006_length_6513_cov_8.067358||lt2gene",585
"NODE_1409_length_10157_cov_6.275391||full",713
"NODE_4082_length_5355_cov_21.167547||full",1328
"NODE_24611_length_1568_cov_3.573034||full",84
"NODE_26286_length_1494_cov_5.590688||full",97
"NODE_26326_length_1492_cov_4.385525||full",82
"NODE_33800_length_1235_cov_4.912712||lt2gene",68
"NODE_32344_length_1279_cov_2.509804||full",52
"NODE_813_length_13820_cov_8.533454||full",1299
"NODE_2280_length_7713_cov_14.044267||full",1448
"NODE_20142_length_1811_cov_14.998292||full",325
"NODE_932_length_12709_cov_5.544571||full",884
"NODE_37652_length_1139_cov_22.579336||full",314
"NODE_38188_length_1127_cov_2.619403||lt2gene",55
"NODE_11494_length_2686_cov_4.488027||full",133
"NODE_24006_length_1597_cov_3.452659||full",66
"NODE_5168_length_4634_cov_7.915265||full",437
"NODE_24587_length_1569_cov_3.992734||full",69
"NODE_9249_length_3119_cov_2.881201||full",115
"NODE_30088_length_1349_cov_3.119011||full",49
"NODE_2864_length_6718_cov_18.611136||full",1350
"NODE_30643_length_1330_cov_15.817255||full",270
"NODE_5398_length_4499_cov_13.387264||full",671
"NODE_23414_length_1627_cov_3.031170||full",74
"NODE_12747_length_2501_cov_6.728128||full",220
"NODE_11459_length_2693_cov_4.087945||full",130
"NODE_32529_length_1273_cov_2.756979||full",36
"NODE_39316_length_1101_cov_1.858509||full",21
"NODE_5455_length_4463_cov_13.863203||full",686
"NODE_11531_length_2679_cov_4.620427||lt2gene",150
"NODE_26865_length_1470_cov_2.744170||lt2gene",73
"NODE_39315_length_1101_cov_1.873805||full",21
"NODE_2106_length_8065_cov_4.366167||full",388
"NODE_12509_length_2531_cov_5.037561||full",150
"NODE_16293_length_2110_cov_9.670073||full",270
"NODE_7839_length_3482_cov_3.804202||full",166
"NODE_8623_length_3267_cov_9.500934||full",481
"NODE_26338_length_1492_cov_2.739736||full",96
"NODE_17841_length_1979_cov_2.741684||full",58
"NODE_12573_length_2522_cov_4.387921||lt2gene",139
"NODE_20112_length_1814_cov_3.104036||full",70
"NODE_39155_length_1104_cov_4.074357||lt2gene",89
"NODE_42886_length_1029_cov_2.401437||full",33
"NODE_4911_length_4791_cov_119.180743||full",5754
"NODE_2529_length_7262_cov_6.025253||full",586
"NODE_9020_length_3172_cov_65.310555||full",2165
"NODE_14219_length_2323_cov_15.102293||full",400
"NODE_16576_length_2086_cov_20.471689||full",1014
"NODE_6161_length_4098_cov_8.799406||full",417
"NODE_41138_length_1062_cov_4.096326||full",120
"NODE_14904_length_2248_cov_5.136799||full",121
"NODE_3125_length_6362_cov_6.776439||full",303
"NODE_31006_length_1319_cov_3.589399||full",64
"NODE_19631_length_1848_cov_3.853318||full_1",47
"NODE_19430_length_1862_cov_2.748201||full",59
"NODE_19794_length_1836_cov_5.368894||full",227
"NODE_20670_length_1781_cov_4.932793||full",194
"NODE_2856_length_6727_cov_3.461930||full",351
"NODE_4579_length_5008_cov_3.135070||full",227
"NODE_10784_length_2806_cov_3.164304||full",101
"NODE_9300_length_3106_cov_7.897411||full",350
"NODE_38763_length_1114_cov_3.964117||lt2gene",50
"NODE_4016_length_5415_cov_5.802985||full",347
"NODE_37828_length_1135_cov_10.532407||full",297
"NODE_33957_length_1231_cov_1.883503||full_1",21
"NODE_8703_length_3250_cov_11.684507||full",535
"NODE_1397_length_10200_cov_10.154756||full",1101
"NODE_3020_length_6497_cov_9.751940||full",689
"NODE_3148_length_6338_cov_6.152952||full",412
"NODE_28101_length_1422_cov_2.512070||lt2gene",36
"NODE_27007_length_1464_cov_4.688432||full",107
"NODE_27456_length_1446_cov_7.482387||full",70
"NODE_21345_length_1741_cov_2.710558||full",51
"NODE_8084_length_3414_cov_4.954451||full",174
"NODE_10848_length_2794_cov_2.984301||full",96
"NODE_36610_length_1163_cov_4.576715||full",91
"NODE_13353_length_2428_cov_2.135693||full",51
"NODE_3074_length_6427_cov_4.460295||full",638
"NODE_2936_length_6618_cov_4.241810||full",341
"NODE_6317_length_4032_cov_2.990948||full",156
"NODE_37572_length_1141_cov_5.737569||full",67
"NODE_23181_length_1640_cov_3.000000||full",65
"NODE_26844_length_1471_cov_2.108757||full",22
"NODE_804_length_13902_cov_14.405575||full",2167
"NODE_12635_length_2514_cov_18.146401||full",490
"NODE_4699_length_4929_cov_4.508412||full",305
"NODE_44490_length_1000_cov_4.510053||lt2gene",45
"NODE_11315_length_2715_cov_7.352256||full",364
"NODE_15227_length_2215_cov_7.804167||full",176
"NODE_23584_length_1618_cov_3.907869||full",97
"NODE_6509_length_3947_cov_10.725848||full",541
"NODE_17913_length_1973_cov_4.052659||full",105
"NODE_22651_length_1668_cov_2.499690||full",44
"NODE_1477_length_9917_cov_9.683431||full",1144
"NODE_25268_length_1538_cov_4.627107||full",84
"NODE_9761_length_3006_cov_10.840732||full",625
"NODE_11711_length_2652_cov_8.360031||full",305
"NODE_35392_length_1193_cov_3.454306||full",77
"NODE_24441_length_1576_cov_2.903353||full",48
"NODE_5880_length_4232_cov_2.834091||full",137
"NODE_40289_length_1080_cov_9.432195||full",162
"NODE_31073_length_1317_cov_3.443740||lt2gene",51
"NODE_94_length_33600_cov_30.623849||full_1",4938
"NODE_35700_length_1185_cov_16.335398||full",435
"NODE_7009_length_3759_cov_5.600432||full_1",291
"NODE_28293_length_1414_cov_2.568801||full",56
"NODE_10388_length_2878_cov_11.490259||full",402
"NODE_16298_length_2110_cov_3.220438||full",78
"NODE_16536_length_2090_cov_3.838329||full",110
"NODE_23861_length_1604_cov_2.786314||full",54
"NODE_24932_length_1554_cov_2.577718||lt2gene",47
"NODE_15150_length_2223_cov_2.590867||full",75
"NODE_8035_length_3426_cov_6.873035||full",846
"NODE_23027_length_1647_cov_7.414573||full",418
"NODE_30352_length_1340_cov_1.810895||full",44
"NODE_9376_length_3089_cov_2.368490||full",85
"NODE_24053_length_1594_cov_8.326836||full",136
"NODE_6746_length_3853_cov_3.860190||full",181
"NODE_43778_length_1012_cov_4.711599||lt2gene",60
"NODE_30607_length_1331_cov_6.724138||full",124
"NODE_40232_length_1082_cov_1.962999||full",38
"NODE_28717_length_1398_cov_3.767684||lt2gene",78
"NODE_31419_length_1306_cov_18.952838||full",259
"NODE_42425_length_1037_cov_4.385947||full",57
"NODE_35844_length_1182_cov_3.132209||full",44
"NODE_7586_length_3554_cov_2.750214||full",96
"NODE_15855_length_2151_cov_7.219943||full_1",132
"NODE_37658_length_1139_cov_5.010148||full",51
"NODE_48_length_42790_cov_25.347397||0_partial_1",8941
"NODE_4576_length_5009_cov_12.079330||full",738
"NODE_15593_length_2177_cov_2.836004||full",93
"NODE_28472_length_1407_cov_3.390533||full",99
"NODE_13768_length_2376_cov_4.944421||full",157
"NODE_12759_length_2500_cov_6.317382||full",178
"NODE_12405_length_2546_cov_3.154155||full",94
"NODE_11785_length_2639_cov_4.693111||full",179
"NODE_8077_length_3415_cov_4.528274||full",197
"NODE_38806_length_1113_cov_2.235350||full",53
"NODE_15055_length_2233_cov_3.365473||full",110
"NODE_34106_length_1226_cov_6.675491||full",82
"NODE_26639_length_1479_cov_5.863764||full",143
"NODE_8167_length_3392_cov_3.423135||full",138
"NODE_8457_length_3310_cov_4.721045||full",479
"NODE_19165_length_1880_cov_4.083288||full",103
"NODE_29564_length_1367_cov_15.434451||lt2gene",240
"NODE_6418_length_3986_cov_4.985245||full",247
"NODE_8654_length_3261_cov_5.638490||full",239
"NODE_25792_length_1515_cov_4.232192||full",96
"NODE_38462_length_1121_cov_2.658537||lt2gene",65
"NODE_34906_length_1206_cov_2.630756||lt2gene",39
"NODE_36233_length_1172_cov_3.266786||full",56
"NODE_368_length_19624_cov_26.872043||full",5538
"NODE_20931_length_1767_cov_2.507593||full",48
"NODE_44357_length_1002_cov_10.488912||lt2gene",121
"NODE_21196_length_1751_cov_3.219340||full",52
"NODE_12324_length_2557_cov_5.600320||full",147
"NODE_28468_length_1407_cov_3.692308||full",54
"NODE_43179_length_1023_cov_2.650826||full",32
"NODE_893_length_13056_cov_8.644027||full",1261
"NODE_8492_length_3301_cov_5.204559||full",177
"NODE_39975_length_1087_cov_2.754845||full",32
"NODE_37052_length_1153_cov_4.142987||full",91
"NODE_10634_length_2832_cov_6.188693||lt2gene",266
"NODE_6504_length_3950_cov_2.738383||full",115
"NODE_36909_length_1157_cov_2.196007||full",25
"NODE_44_length_43941_cov_139.111493||full",64086
"NODE_137_length_29692_cov_7.723960||full",2609
"NODE_35137_length_1199_cov_36.670455||full",384
"NODE_23019_length_1648_cov_2.956685||full",49
"NODE_10644_length_2831_cov_10.039265||full",332
"NODE_14025_length_2348_cov_3.327955||full",105
"NODE_710_length_14658_cov_4.146682||full_1",550
"NODE_39896_length_1088_cov_5.609874||lt2gene",72
"NODE_43045_length_1026_cov_2.004119||lt2gene",31
"NODE_28547_length_1404_cov_2.931060||full",68
"NODE_2788_length_6839_cov_5.006781||full_1",246
"NODE_40442_length_1078_cov_2.043988||full",24
"NODE_40511_length_1076_cov_20.664055||full",254
"NODE_2719_length_6944_cov_4.786471||full",541
"NODE_5008_length_4729_cov_8.967266||full",492
"NODE_14169_length_2329_cov_4.043975||full",102
"NODE_329_length_20365_cov_8.166913||full_1",1473
"NODE_2668_length_7014_cov_10.484409||full",814
"NODE_6091_length_4129_cov_13.928326||full",1141
"NODE_42417_length_1037_cov_5.360489||full",57
"NODE_212_length_24395_cov_10.491085||full_1",1251
"NODE_19317_length_1870_cov_2.731680||full",66
"NODE_14365_length_2308_cov_2.975144||full",94
"NODE_22366_length_1683_cov_2.784398||full",54
"NODE_38575_length_1118_cov_3.630292||lt2gene",83
"NODE_29501_length_1370_cov_2.856274||lt2gene",40
"NODE_7989_length_3437_cov_3.654642||full",155
"NODE_33991_length_1230_cov_1.879149||full",23
"NODE_41201_length_1061_cov_3.131213||full",45
"NODE_11162_length_2742_cov_6.413472||full",277
"NODE_14867_length_2252_cov_3.875740||full",123
"NODE_6867_length_3810_cov_3.904927||full",300
"NODE_6829_length_3825_cov_4.411671||full",224
"NODE_22128_length_1696_cov_4.480804||full",107
"NODE_19835_length_1833_cov_3.356018||full",58
